INS_BEFORE_WPNAV_US,INS_AFTER_WPNAV_US,INS_UPDATED_DURING_WPNAV,STATE_AGE_AT_WPNAV_US,WPNAV_ELAPSED_WALL_US,SIM_TIME_US,WALL_TIME_US,CONTROL_DT_SIM_US,CONTROL_DT_WALL_US,CONTROL_OVERRUN_SIM_US,CONTROL_OVERRUN_WALL_US,INS_UPDATE_US,INS_DT_US,PRODUCER_SIM_US,PRODUCER_WALL_US,AGE_SIM_US,AGE_WALL_US,NAV_INDEX,WP_DISTANCE_CM,REF_VEL_N,SIM_VEL_N,REF_VEL_E,SIM_VEL_E
73960404,73960404,0,0,8,73960404,9483234208,2499,5233,0,2733,73960404,2499,73960404,9483233239,0,969,0,4,0.000,-3.157,0.000,4.033
73962903,73962903,0,833,8,73962903,9483239455,2499,5247,0,2747,73962903,2499,73962903,9483237893,0,1562,0,4,0.000,-3.160,0.000,4.039
73965402,73965402,0,0,9,73965402,9483243241,2499,3786,0,1286,73965402,2499,73965402,9483242188,0,1053,0,4,0.000,-3.139,0.000,4.014
73967901,73967901,0,0,8,73967901,9483247447,2499,4206,0,1706,73967901,2499,73967901,9483246414,0,1033,0,4,0.000,-3.144,0.000,4.019
73970400,73970400,0,0,7,73970400,9483252021,2499,4574,0,2074,73970400,2499,73970400,9483250584,0,1437,0,4,0.000,-3.149,0.000,4.028
73972899,73972899,0,833,7,73972899,9483256287,2499,4266,0,1766,73972899,2499,73972899,9483254844,0,1443,0,4,0.000,-3.153,0.000,4.034
73975398,73975398,0,0,7,73975398,9483260099,2499,3812,0,1312,73975398,2499,73975398,9483259555,0,544,0,4,0.000,-3.135,0.000,4.009
73977897,73977897,0,0,8,73977897,9483264916,2499,4817,0,2317,73977897,2499,73977897,9483263958,0,958,0,4,0.000,-3.138,0.000,4.015
73980396,73980396,0,0,8,73980396,9483269406,2499,4490,0,1990,73980396,2499,73980396,9483268279,0,1127,0,4,0.000,-3.144,0.000,4.022
73982895,73982895,0,833,7,73982895,9483273492,2499,4086,0,1586,73982895,2499,73982895,9483272196,0,1296,0,4,0.000,-3.148,0.000,4.027
73985394,73985394,0,0,8,73985394,9483277838,2499,4346,0,1846,73985394,2499,73985394,9483276342,0,1496,0,4,0.000,-3.130,0.000,4.005
73987893,73987893,0,0,8,73987893,9483281339,2499,3501,0,1001,73987893,2499,73987893,9483280204,0,1135,0,4,0.000,-3.134,0.000,4.010
73990392,73990392,0,0,9,73990392,9483285034,2499,3695,0,1195,73990392,2499,73990392,9483284444,0,590,0,4,0.000,-3.138,0.000,4.018
73992891,73992891,0,0,7,73992891,9483289451,2499,4417,0,1917,73992891,2499,73992891,9483288821,0,630,0,4,0.000,-3.142,0.000,4.023
73995390,73995390,0,0,6,73995390,9483292835,2499,3384,0,884,73995390,2499,73995390,9483292244,0,591,0,4,0.000,-3.125,0.000,4.003
73997889,73997889,0,0,6,73997889,9483297008,2499,4173,0,1673,73997889,2499,73997889,9483296553,0,455,0,4,0.000,-3.128,0.000,4.008
