event_index,ros_before_sleep_sec,ros_after_sleep_sec,ros_elapsed_during_sleep_ms,nominal_cycle_ms,cycle_interval_ms,cycle_displacement_ms,requested_delay_us,measured_delay_us,delay_error_us
60,169.338000000,171.309000000,1971.000000000,100.000000000,2083.786310000,1983.786310000,2000000,2002267,2267
61,171.366000000,173.336000000,1970.000000000,100.000000000,2058.755707000,1958.755707000,2000000,2000060,60
62,173.416000000,175.414000000,1998.000000000,100.000000000,2077.593510000,1977.593510000,2000000,2000099,99
63,175.465000000,177.452000000,1987.000000000,100.000000000,2056.193641000,1956.193641000,2000000,2000060,60
64,177.491000000,179.476000000,1985.000000000,100.000000000,2040.645516000,1940.645516000,2000000,2000058,58
65,179.518000000,181.506000000,1988.000000000,100.000000000,2041.373270000,1941.373270000,2000000,2000057,57
66,181.567000000,183.555000000,1988.000000000,100.000000000,2069.633948000,1969.633948000,2000000,2000031,31
67,183.596000000,185.573000000,1977.000000000,100.000000000,2044.868566000,1944.868566000,2000000,2000061,61
68,185.640000000,187.609000000,1969.000000000,100.000000000,2068.877743000,1968.877743000,2000000,2000062,62
69,187.673000000,189.661000000,1988.000000000,100.000000000,2066.939074000,1966.939074000,2000000,2000058,58
70,189.714000000,191.709000000,1995.000000000,100.000000000,2050.220363000,1950.220363000,2000000,2000059,59
71,191.778000000,193.754000000,1976.000000000,100.000000000,2069.161545000,1969.161545000,2000000,2000067,67
72,193.801000000,195.771000000,1970.000000000,100.000000000,2046.989803000,1946.989803000,2000000,2000057,57
73,195.824000000,197.807000000,1983.000000000,100.000000000,2047.820856000,1947.820856000,2000000,2000060,60
74,197.856000000,199.838000000,1982.000000000,100.000000000,2054.053752000,1954.053752000,2000000,2000108,108
75,199.902000000,200.504000000,602.000000000,100.000000000,2068.349640000,1968.349640000,2000000,2000063,63
