INS_BEFORE_WPNAV_US,INS_AFTER_WPNAV_US,INS_UPDATED_DURING_WPNAV,STATE_AGE_AT_WPNAV_US,WPNAV_ELAPSED_WALL_US,SIM_TIME_US,WALL_TIME_US,CONTROL_DT_SIM_US,CONTROL_DT_WALL_US,CONTROL_OVERRUN_SIM_US,CONTROL_OVERRUN_WALL_US,INS_UPDATE_US,INS_DT_US,PRODUCER_SIM_US,PRODUCER_WALL_US,AGE_SIM_US,AGE_WALL_US,NAV_INDEX,WP_DISTANCE_CM,REF_VEL_N,SIM_VEL_N,REF_VEL_E,SIM_VEL_E
94063193,94063193,0,0,13,94063193,7558303312,2499,31483,0,28983,94063193,2499,0,0,0,0,3,5727,95.051,71.029,299.183,366.822
94065692,94065692,0,0,4,94065692,7558303463,2499,151,0,0,94065692,2499,0,0,0,0,3,5727,95.219,71.141,298.885,366.657
94068191,94068191,0,0,3,94068191,7558303588,2499,125,0,0,94068191,2499,0,0,0,0,3,5727,95.378,71.276,298.488,366.312
94070690,94070690,0,0,4,94070690,7558303695,2499,107,0,0,94070690,2499,0,0,0,0,3,5727,95.550,71.366,298.210,366.098
94073189,94073189,0,0,4,94073189,7558303801,2499,106,0,0,94073189,2499,0,0,0,0,3,5727,95.710,71.530,297.812,365.779
94075688,94075688,0,0,3,94075688,7558303890,2499,89,0,0,94075688,2499,0,0,0,0,3,5726,95.879,71.575,297.514,365.552
94078187,94078187,0,0,3,94078187,7558304000,2499,110,0,0,94078187,2499,0,0,0,0,3,5726,96.039,71.690,297.116,365.228
94080686,94080686,0,0,4,94080686,7558304093,2499,93,0,0,94080686,2499,0,0,0,0,3,5726,96.211,71.753,296.838,365.000
94083185,94083185,0,0,3,94083185,7558304197,2499,104,0,0,94083185,2499,0,0,0,0,3,5726,96.372,71.866,296.439,364.661
94085684,94085684,0,0,4,94085684,7558304285,2499,88,0,0,94085684,2499,0,0,0,0,3,5726,96.542,71.978,296.141,364.454
94088183,94088183,0,0,4,94088183,7558304394,2499,109,0,0,94088183,2499,0,0,0,0,3,5726,96.703,72.073,295.742,364.111
94090682,94090682,0,0,4,94090682,7558304492,2499,98,0,0,94090682,2499,0,0,0,0,3,5725,96.877,72.182,295.463,363.862
94093181,94093181,0,0,4,94093181,7558304597,2499,105,0,0,94093181,2499,0,0,0,0,3,5725,97.039,72.360,295.063,363.483
94095680,94095680,0,0,12,94095680,7558336110,2499,31513,0,29013,94095680,2499,0,0,0,0,3,5725,97.210,72.497,294.765,363.258
94098179,94098179,0,0,4,94098179,7558336321,2499,211,0,0,94098179,2499,0,0,0,0,3,5725,97.372,72.653,294.365,362.874
94100678,94100678,0,0,4,94100678,7558336419,2499,98,0,0,94100678,2499,0,0,0,0,3,5725,97.546,72.763,294.085,362.596
94103177,94103177,0,0,4,94103177,7558336522,2499,103,0,0,94103177,2499,0,0,0,0,3,5724,97.709,72.878,293.685,362.199
